name,molecular_weight,polarity,smiles,category,price_per_kg,olfactive_notes,olfactive_family,ifra_limit,is_allergen,complexity_tier,traditional_use,odor_threshold_ppb,odor_potency,russell_valence,russell_arousal,evidence_level,biodegradability,renewable_source,carbon_footprint
Abajurú (Chrysobalanus icaco),222.37,5.3,CC(C)=CCCC(C)=CCCC(C)(O)C=C,Heart,450.0,Floral amadeirado verde,Amadeirado,100.00%,False,3,Adstringente,10.0,Medium,0.6,-0.2,Média (Estudo Químico),True,True,1.5
Açaí (Euterpe precatoria),280.45,6.8,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,Base,180.0,Verde oleoso suave,Oleoso,100.00%,False,3,Nutrição,100.0,Medium,0.5,-0.4,Média (Estudo Químico),True,True,1.2
Alecrim-do-Campo (B. dracunculifolia),136.23,4.1,CC1(C2CCC(=C)C1C2)C,Top,280.0,Verde balsâmico,Agreste,100.00%,False,3,Cicatrizante,150.0,Medium,0.4,-0.5,Média (Estudo Clínico),True,True,1.8
Alecrim-Pimenta (Lippia sidoides),150.22,3.3,Cc1ccc(C(C)C)c(O)c1,Heart,350.0,Especiado fenólico,Aromático,2.00%,False,3,Antisséptico,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,2.0
Alfavaca-Cravo (Ocimum gratissimum),164.20,2.5,COC1=C(C=CC(=C1)CC=C)O,Heart,220.0,Cravo medicinal,Especiado,2.50%,True,3,Digestivo,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.5
Amapá-Doce (Brosimum parinarioides),222.37,4.6,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,400.0,Leitoso resinoso,Lactônico,100.00%,False,3,Tônico,200.0,Low,0.8,-0.4,Associação Cultural,True,True,2.2
Anaxagorea (Anaxagorea brevipes),222.37,3.8,CC(=C)C1CCC2(C)CCC(O)(C(C)C)C2C1,Base,550.0,Amadeirado cânfora,Amadeirado,100.00%,False,3,Perfumaria,50.0,Medium,0.4,-0.5,Média (Estudo Clínico),True,True,2.5
Andiroba (Carapa guianensis),282.47,7.2,CCCCCCCCC=CCCCCCCCC(=O)O,Base,95.0,Amargo noz,Oleoso,100.00%,False,3,Repelente,500.0,Low,0.5,-0.3,Associação Cultural,True,True,1.1
Angico (Anadenanthera colubrina),222.37,4.8,CC(C)=CCCC(C)=CCCC(C)(O)C=C,Base,150.0,Amadeirado seco,Amadeirado,100.00%,False,3,Construção,300.0,Low,0.4,-0.5,Associação Cultural,True,True,1.4
Araçá-Boi (Eugenia stipitata),136.23,4.2,CC1=CCC(CC1)C(=C)C,Top,600.0,Cítrico suculento,Frutado,100.00%,False,3,Alimento,5.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.6
Aroeira-Branca (Lithraea molleoides),136.23,4.5,CC1=CCC(CC1)C(=C)C,Top,320.0,Pimenta resina,Cítrico,100.00%,False,3,Medicinal,15.0,Medium,0.7,0.8,Associação Cultural,True,True,1.7
Aroeira-Piri (Schinus terebinthifolius),136.23,4.3,CC1=CCC(CC1)C(=C)C,Top,480.0,Pimenta rosa bagas,Especiado,100.00%,False,3,Gastronomia,10.0,High,0.7,0.8,Média (Aromacologia),True,True,1.8
Assacu (Hura crepitans),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,200.0,Amadeirado seco,Amadeirado,100.00%,False,3,Purga,100.0,Medium,0.4,-0.5,Associação Cultural,True,True,3.0
Avenca (Adiantum capillus-veneris),100.16,1.8,CC/C=C\CCO,Heart,250.0,Verde orvalho,Verde,100.00%,False,3,Capilar,150.0,Medium,0.7,0.8,Associação Cultural,True,True,1.2
Bacuri (Platonia insignis),256.43,7.2,CCCCCCCCCCCCCCCC(=O)O,Base,160.0,Terra doce,Gourmand,100.00%,False,3,Manteiga,300.0,Low,0.9,-0.2,Associação Cultural,True,True,1.3
Balsam-of-Tolu (Myroxylon toluiferum),238.28,4.2,C1=CC=C(C=C1)C=CC(=O)OCC2=CC=CC=C2,Base,850.0,Baunilha especiado,Balsâmico,0.50%,True,3,Fixador,2000.0,Low,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.9
Baunilha-do-Cerrado (Vanilla edwallii),152.15,1.2,COC1=C(C=CC(=C1)C=O)O,Base,2500.0,Baunilha intensa,Gourmand,1.00%,False,3,Aroma,0.02,Ultra,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.5
Breu Branco (Protium heptaphyllum),136.23,4.4,CC1=CCC2CC1C2(C)C,Top,280.0,Incenso cítrico,Resinoso,100.00%,False,3,Ritual,6.0,Medium,0.7,0.3,Média (Aromacologia),True,True,1.1
Breu Mescla (Protium pallidum),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,320.0,Resina fumaça,Ambarado,100.00%,False,3,Vedação,100.0,Low,0.2,0.9,Associação Cultural,True,True,1.4
Buriti (Mauritia flexuosa),282.47,7.5,CCCCCCCCC=CCCCCCCCC(=O)O,Base,110.0,Cenoura oleoso,Oleoso,100.00%,False,3,Emoliente,500.0,Low,0.6,-0.7,Associação Cultural,True,True,1.1
Cabreúva (Myrocarpus frondosus),222.37,5.2,CC(C)=CCCC(C)=CCCC(C)(O)C=C,Base,520.0,Sândalo mel,Amadeirado,100.00%,False,3,Marcenaria,150.0,Medium,0.5,-0.7,Alta (EEG),True,True,1.9
Cacaueiro (Theobroma cacao),136.20,1.8,Cc1nc(C)c(C)nc1C,Base,220.0,Chocolate amargo,Gourmand,100.00%,False,3,Alimento,10.0,High,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.4
Caisuma (Ocotea guianensis),204.36,4.7,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,380.0,Amadeirado picante,Amadeirado,100.00%,False,3,Aroma,80.0,Medium,0.4,-0.5,Associação Cultural,True,True,1.7
Camará (Lantana camara),204.36,4.5,CC1=CCCC(C)=CCC=CC1(C)C,Top,180.0,Verde acre,Agreste,100.00%,False,3,Ornamental,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Cambuci (Campomanesia phaea),152.24,3.4,CC(C)=CCCC(C)=CC=O,Top,420.0,Cítrico ácido,Frutado,0.60%,True,3,Conservas,6.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.6
Camu-Camu (Myrciaria dubia),136.23,4.4,CC1=CCC2CC1C2(C)C,Top,250.0,Bagas frescas,Frutado,100.00%,False,3,Vitamina C,10.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.2
Canela-Cunani (Aniba ferrea),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,480.0,Amadeirado pungente,Amadeirado,100.00%,False,3,Medicinal,100.0,Medium,0.4,-0.5,Associação Cultural,True,True,2.0
Canela-de-Velho (Miconia albicans),204.36,4.9,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,220.0,Herbal seco,Verde,100.00%,False,3,Inflamação,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Canelinha (Ocotea odorifera),162.19,3.2,COc1cc(cc2OCOc12)CC=C,Heart,300.0,Sassafrás canela,Especiado,0.01%,True,3,Madeira,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,2.5
Capim-Limão-Brasileiro (Elionurus muticus),152.24,3.0,CC(C)=CCCC(C)=CC=O,Top,180.0,Limão herbal,Cítrico,0.60%,True,3,Chás,6.0,Medium,0.7,0.8,Alta (Estudo Clínico),True,True,1.3
Capixingui (Croton floribundus),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,240.0,Amadeirado seco,Amadeirado,100.00%,False,3,Restaurador,100.0,Medium,0.4,-0.5,Associação Cultural,True,True,1.6
Carqueja (Baccharis trimera),136.23,4.4,CC1(C)C2CCC(=C)C1C2,Top,210.0,Amargo verde,Agreste,100.00%,False,3,Digestivo,150.0,Medium,0.3,0.6,Média (Estudo Clínico),True,True,1.4
Casca-Preciosa (Aniba canelilla),151.16,2.8,[O-][N+](=O)CCc1ccccc1,Heart,550.0,Canela floral,Especiado,100.00%,False,3,Aroma,10.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.9
Cássia-Brasileira (Senna spectabilis),154.25,2.7,CC(=C)CCC(C)(O)C=C,Heart,280.0,Floral doce,Floral,100.00%,True,3,Laxante,200.0,Low,0.8,0.2,Média (Aromacologia),True,True,1.7
Cataia (Pimenta pseudocaryophyllus),164.20,2.5,COC1=C(C=CC(=C1)CC=C)O,Heart,420.0,Cravo menta,Especiado,2.50%,True,3,Bebida,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.8
Catiguá (Trichilia catigua),204.36,5.0,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,320.0,Amadeirado amargo,Amadeirado,100.00%,False,3,Tônico,250.0,Low,0.4,-0.5,Associação Cultural,True,True,1.9
Catinga-de-Mulata (Aeollanthus suaveolens),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,480.0,Lavanda doce,Floral,100.00%,True,3,Ritual,6.0,Medium,0.6,-0.7,Alta (Estudo Clínico),True,True,1.5
Cedro-Canjerana (Cabralea canjerana),222.37,4.5,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,350.0,Amadeirado couro,Amadeirado,100.00%,False,3,Marcenaria,200.0,Low,0.4,-0.5,Média (Estudo Clínico),True,True,2.0
Cedro-Rosa (Cedrela fissilis),222.37,4.8,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,380.0,Cedro doce,Amadeirado,100.00%,False,3,Música,150.0,Low,0.4,-0.5,Média (Estudo Clínico),True,True,2.1
Cipó-Cravo (Tynnanthus fasciculatus),164.20,2.5,COC1=C(C=CC(=C1)CC=C)O,Heart,450.0,Cravo intenso,Especiado,2.50%,True,3,Estimulante,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.7
Copaíba (Copaifera reticulata),204.36,4.7,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,120.0,Amadeirado resina,Amadeirado,100.00%,False,3,Cura,150.0,Medium,0.5,-0.3,Média (Estudo Clínico),True,True,1.0
Cravo-do-Maranhão (Dicypellium caryophyllatum),164.20,2.5,COC1=C(C=CC(=C1)CC=C)O,Heart,580.0,Cravo canela,Especiado,2.50%,True,3,Culinária,10.0,High,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.8
Cumaru (Dipteryx odorata),146.14,1.6,O=C1OC2=CC=CC=C2C=C1,Base,750.0,Baunilha amêndoa,Gourmand,0.01%,True,3,Sorte,10.0,Low,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,1.1
Cupuaçu (Theobroma grandiflorum),282.47,7.0,CCCCCCCCC=CCCCCCCCC(=O)O,Base,165.0,Chocolate branco,Gourmand,100.00%,False,3,Nutrição,300.0,Low,0.8,-0.4,Associação Cultural,True,True,1.2
Erva-Baleeira (Varronia curassavica),204.36,4.8,CC1=CCC(C)=CCC(C)=CCC1,Heart,650.0,Herbal terra,Aromático,100.00%,False,3,Dor,150.0,Medium,0.5,-0.3,Média (Estudo Clínico),True,True,1.3
Erva-Cidreira-Mato (Lippia alba),152.24,2.8,CC(C)=CCCC(C)=CC=O,Heart,420.0,Limão menta,Cítrico,0.60%,True,3,Calmante,20.0,Medium,0.6,-0.7,Alta (Estudo Clínico),True,True,1.4
Estoraque-Brasileiro (Ocimum micranthum),162.19,2.9,COC(=O)C=Cc1ccccc1,Heart,520.0,Balsâmico doce,Balsâmico,100.00%,False,3,Perfumaria,100.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.6
Fedegoso (Senna occidentalis),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,160.0,Verde pungente,Agreste,100.00%,False,3,Medicinal,250.0,Low,0.5,0.0,Associação Cultural,True,True,1.4
Guaraná (Paullinia cupana),194.19,-0.1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Top,380.0,Noz seca,Gourmand,100.00%,False,3,Energia,2.0,Ultra,0.7,0.8,Alta (Estudo Clínico),True,True,1.8
Guatambu (Aspidosperma),222.37,5.2,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,250.0,Amadeirado neutro,Amadeirado,100.00%,False,3,Madeira,400.0,Low,0.4,-0.5,Associação Cultural,True,True,2.2
Guaraná (Paullinia cupana),194.19,-0.1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Top,380.0,Noz seca,Gourmand,100.00%,False,3,Energia,2.0,Ultra,0.7,0.8,Alta (Estudo Clínico),True,True,1.8
Guatambu (Aspidosperma),222.37,5.2,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,250.0,Amadeirado neutro,Amadeirado,100.00%,False,3,Madeira,400.0,Low,0.4,-0.5,Associação Cultural,True,True,2.2
Imbuia (Ocotea porosa),204.36,4.7,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,850.0,Especiado madeira,Amadeirado,100.00%,False,3,Móveis,150.0,Low,0.4,-0.5,Associação Cultural,True,True,2.5
Ipê-Amarelo (Handroanthus albus),242.27,3.8,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,Base,600.0,Floral suave,Floral,100.00%,False,3,Madeira,250.0,Low,0.8,0.2,Associação Cultural,True,True,2.0
Ipê-Roxo (Handroanthus impetiginosus),242.27,3.8,CC(C)=CCC1=C(O)C(=O)c2ccccc2C1=O,Base,580.0,Amadeirado seco,Amadeirado,100.00%,False,3,Cura,300.0,Low,0.4,-0.5,Associação Cultural,True,True,2.0
Jabuticaba (Plinia cauliflora),136.24,4.2,CC1=CCC(CC1)C(=C)C,Top,420.0,Vinho bagas,Frutado,100.00%,False,3,Alimento,10.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Jambo-Rosa (Syzygium jambos),154.25,2.9,CC(=CCCC(C)(C=C)O)C,Top,380.0,Rosa aquoso,Floral,100.00%,True,3,Doce,30.0,Medium,0.8,0.2,Média (Aromacologia),True,True,1.5
Jambú (Acmella oleracea),221.34,3.5,CC=CC=CCC=CC(=O)NCC(C)C,Heart,1200.0,Choque verde,Agreste,100.00%,False,3,Pato no Tucupi,50.0,High,0.4,0.6,Alta (EEG),True,True,1.8
Jatobá (Hymenaea courbaril),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,350.0,Resinoso amadeirado,Balsâmico,100.00%,False,3,Fortificante,150.0,Low,0.7,0.3,Associação Cultural,True,True,1.4
Jenipapo (Genipa americana),116.16,1.8,CCCC(=O)OCC,Top,220.0,Doce fermentado,Frutado,100.00%,False,3,Pintura,100.0,Medium,0.8,0.2,Associação Cultural,True,True,1.3
Jequitibá (Cariniana legalis),222.37,4.6,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,480.0,Amadeirado antigo,Amadeirado,100.00%,False,3,Gigante,350.0,Low,0.4,-0.5,Associação Cultural,True,True,2.3
Juá (Ziziphus joazeiro),100.16,1.8,CC/C=C\CCO,Top,140.0,Saponáceo limpo,Verde,100.00%,False,3,Higiene,200.0,Low,0.2,0.9,Alta (Resposta Trigeminal),True,True,1.2
Jurubeba (Solanum paniculatum),100.16,1.8,CC/C=C\CCO,Heart,180.0,Verde amargo,Agreste,100.00%,False,3,Tônico,150.0,Medium,0.3,0.6,Associação Cultural,True,True,1.5
Louro-Rosa (Aniba rosaeodora),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,2200.0,Rosa amadeirado,Floral,100.00%,True,3,Luxo,6.0,Medium,0.6,-0.7,Alta (Estudo Clínico),True,True,2.5
Macaca-Poranga (Aniba fragrans),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,850.0,Floral especiado,Floral,100.00%,True,3,Perfumaria,15.0,Medium,0.8,0.2,Associação Cultural,True,True,2.0
Maçaranduba (Manilkara huberi),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,420.0,Amadeirado resina,Amadeirado,100.00%,False,3,Madeira,200.0,Low,0.4,-0.5,Associação Cultural,True,True,2.1
Malva-Santa (Plectranthus amboinicus),150.22,3.3,Cc1ccc(C(C)C)cc1O,Heart,250.0,Verde mentolado,Aromático,100.00%,False,3,Digestivo,100.0,Medium,0.6,-0.7,Associação Cultural,True,True,1.4
Mangaba (Hancornia speciosa),136.24,4.2,CC1=CCC(CC1)C(=C)C,Top,380.0,Doce látex,Frutado,100.00%,False,3,Suco,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.5
Manjerioba (Senna occidentalis),100.16,1.8,CC/C=C\CCO,Heart,150.0,Verde forte,Agreste,100.00%,False,3,Medicinal,250.0,Low,0.5,0.0,Associação Cultural,True,True,1.4
Maracujá (Passiflora edulis),158.24,3.1,CC(C)CCOC(=O)CCC,Top,180.0,Tropical ácido,Frutado,100.00%,False,3,Calmante,10.0,Medium,0.6,-0.7,Alta (Estudo Clínico),True,True,1.2
Marapuama (Ptychopetalum olacoides),204.36,5.1,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,650.0,Especiado madeira,Amadeirado,100.00%,False,3,Afrodisíaco,150.0,Medium,0.7,0.5,Associação Cultural,True,True,1.9
Mastruz (Dysphania ambrosioides),168.23,2.5,CC1=CCC2(OO2)C(C)(C)C1,Heart,280.0,Canforado verde,Agreste,100.00%,False,3,Vermífugo,100.0,Medium,0.3,0.6,Média (Estudo Clínico),True,True,1.6
Mentrasto (Ageratum conyzoides),204.36,4.2,CC1=CCCC(C)=CCC=CC1(C)C,Heart,320.0,Floral herbal,Verde,100.00%,False,3,Cicatrizante,150.0,Medium,0.6,-0.7,Associação Cultural,True,True,1.5
Murici (Byrsonima crassifolia),116.16,1.9,CCCC(=O)OCC,Top,450.0,Queijo frutado,Frutado,100.00%,False,3,Exótico,50.0,Medium,0.9,-0.2,Associação Cultural,True,True,1.8
Murumuru (Astrocaryum murumuru),228.37,6.8,CCCCCCCCCCCCCC(=O)O,Base,155.0,Amendoado terra,Oleoso,100.00%,False,3,Manteiga,500.0,Low,0.8,-0.4,Associação Cultural,True,True,1.2
Mutamba (Guazuma ulmifolia),204.36,4.6,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,220.0,Noz amadeirado,Amadeirado,100.00%,False,3,Capilar,300.0,Low,0.4,-0.5,Associação Cultural,True,True,1.4
Pajurá (Couepia bracteosa),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,380.0,Frutado denso,Frutado,100.00%,False,3,Sabor,150.0,Medium,0.8,0.2,Associação Cultural,True,True,1.7
Pariparoba (Piper umbellatum),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,420.0,Verde pimenta,Verde,100.00%,False,3,Tônico,100.0,Medium,0.5,0.0,Associação Cultural,True,True,1.6
Patauá (Oenocarpus bataua),282.47,7.5,CCCCCCCCC=CCCCCCCCC(=O)O,Base,145.0,Azeite herbal,Oleoso,100.00%,False,3,Restaurador,500.0,Low,0.5,-0.3,Associação Cultural,True,True,1.3
Pau-Brasil (Paubrasilia echinata),286.28,3.5,Oc1cc2c(cc1)C3C(O)Cc4c(O)cc(O)cc4C3O2,Base,1500.0,Madeira resina,Amadeirado,100.00%,False,3,Corante,400.0,Low,0.4,-0.5,Associação Cultural,True,True,2.8
Pau-Precioso (Aniba canelilla),154.25,2.7,CC(=CCCC(C)(C=C)O)C,Heart,1200.0,Rosa amadeirado,Floral,100.00%,True,3,Fragrância,10.0,Medium,0.8,0.2,Associação Cultural,True,True,2.3
Pau-Santo (Bulnesia sarmientoi),222.37,4.2,CC1(C)CCC2(C)CCC(O)(C)C12,Base,950.0,Guaiaco fumaça,Amadeirado,100.00%,False,3,Sagrado,80.0,High,0.7,0.5,Associação Cultural,True,True,2.6
Pequi (Caryocar brasiliense),144.21,2.8,CCCCCC(=O)OCC,Top,250.0,Frutado gorduroso,Frutado,100.00%,False,3,Cerrado,20.0,Medium,0.9,-0.2,Associação Cultural,True,True,1.6
Peroba-Rosa (Aspidosperma polyneuron),222.37,5.2,CC1CCC2C13CCC(C(C3)C2(C)C)(C)O,Base,450.0,Amadeirado seco,Amadeirado,100.00%,False,3,Estrutura,400.0,Low,0.4,-0.5,Associação Cultural,True,True,2.4
Pimenta-Guaivira (Campomanesia xanthocarpa),136.24,4.5,CC1=CCC(CC1)C(=C)C,Top,380.0,Pimenta cítrico,Especiado,100.00%,False,3,Tempero,20.0,Medium,0.7,0.8,Associação Cultural,True,True,1.7
Pimenta-Rosa (Schinus terebinthifolius),136.24,4.3,CC1=CCC(CC1)C(=C)C,Top,480.0,Baga picante,Especiado,100.00%,False,3,Sucesso,10.0,High,0.7,0.8,Média (Aromacologia),True,True,1.8
Pindaíba (Xylopia aromatica),136.24,3.4,CC1=CCC(CC1)C(=C)C,Top,550.0,Especiado verde,Aromático,100.00%,False,3,Aroma,40.0,Medium,0.5,0.0,Associação Cultural,True,True,1.9
Pinhão (Araucaria angustifolia),136.24,4.5,CC1(C)C2CCC(=C)C1C2,Top,320.0,Pinheiro resina,Amadeirado,100.00%,False,3,Sul,150.0,Medium,0.4,-0.5,Associação Cultural,True,True,2.1
Pitanga (Eugenia uniflora),204.36,3.5,CC1=C(C)C2CC(=CCCC2=C1)C(C)=C,Heart,450.0,Ácido frutado,Frutado,100.00%,False,3,Energia,10.0,High,0.7,0.8,Alta (Estudo Clínico),True,True,1.3
Priprioca (Cyperus articulatus),222.37,4.8,CC1(O)C2CCC1(C)C3CCC23C,Base,1800.0,Terra patchouli,Amadeirado,100.00%,False,3,Banho,50.0,High,0.5,-0.5,Associação Cultural,True,True,1.8
Puchuri (Licaria puchury),162.19,2.8,COc1cc(cc2OCOc12)CC=C,Heart,1100.0,Cravo noz-moscada,Especiado,0.01%,True,3,Sabor,10.0,High,0.9,-0.2,Alta (Psicologia Evolutiva),True,True,2.2
Quina (Cinchona officinalis),324.42,3.5,COC1=CC2=C(C=C1)N=CC=C2C(C3CC4CCN3CC4C=C)O,Base,750.0,Amargo medicinal,Amadeirado,100.00%,False,3,Febre,200.0,Low,0.3,0.6,Associação Cultural,True,True,2.1
Resina-Cajueiro (Anacardium occidentale),204.36,4.8,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,120.0,Resinoso doce,Balsâmico,100.00%,False,3,Cola,250.0,Low,0.8,0.2,Associação Cultural,True,True,1.2
Sangue-Dragão (Croton lechleri),212.24,3.1,O=C(OCC1=CC=CC=C1)C2=CC=CC=C2,Base,850.0,Terroso sangue,Balsâmico,100.00%,False,3,Pele,150.0,Medium,0.6,-0.7,Associação Cultural,True,True,1.8
Sassafrás-Brasil (Ocotea odorifera),162.19,2.6,COc1cc(cc2OCOc12)CC=C,Heart,400.0,Anis medicinal,Especiado,0.01%,True,3,Safrol,10.0,Medium,0.5,0.0,Associação Cultural,True,True,2.5
Sucupira (Pterodon emarginatus),204.36,5.2,CC1=CCCC(C)(C12CC2(C)C)C=CC,Base,350.0,Amadeirado amargo,Amadeirado,100.00%,False,3,Dor,300.0,Low,0.4,-0.5,Associação Cultural,True,True,1.6
Taperebá (Spondias mombin),116.16,1.9,CCCC(=O)OCC,Top,220.0,Cítrico suculento,Frutado,100.00%,False,3,Sabor,10.0,Medium,0.7,0.8,Associação Cultural,True,True,1.3
Tarumã (Vitex montevidensis),204.36,4.5,CC1=CCCC(C)(C12CC2(C)C)C=CC,Heart,280.0,Herbal terra,Verde,100.00%,False,3,Depurativo,150.0,Medium,0.5,0.0,Associação Cultural,True,True,1.5
Tucumã (Astrocaryum aculeatum),282.47,7.5,CCCCCCCCC=CCCCCCCCC(=O)O,Base,135.0,Damasco oleoso,Frutado,100.00%,False,3,Brilho,400.0,Low,0.8,0.2,Associação Cultural,True,True,1.2
Umari (Poraqueiba sericea),144.22,2.0,CCCCCC(=O)OCC,Top,320.0,Frutado gorduroso,Frutado,100.00%,False,3,Exótico,100.0,Medium,0.8,0.2,Associação Cultural,True,True,1.8
Umbu (Spondias tuberosa),116.16,1.9,CCCC(=O)OCC,Top,250.0,Ácido suculento,Frutado,100.00%,False,3,Seca,20.0,Medium,0.7,0.8,Associação Cultural,True,True,1.4
Urucum (Bixa orellana),394.50,4.5,CC(=CC=CC=C(C)C=CC=C(C)C=O)C=CC=C(C)C=CC=C(C)C(=O)O,Base,180.0,Terra pó,Especiado,100.00%,False,3,Cor,300.0,Low,0.5,-0.3,Associação Cultural,True,True,1.4
Uvaia (Eugenia pyriformis),136.24,3.3,CC1=CCC(CC1)C(=C)C,Top,420.0,Cítrico doce,Frutado,100.00%,False,3,Sabor,15.0,Medium,0.7,0.8,Associação Cultural,True,True,1.5
